,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
30,@CNN,Fri Aug 17 21:17:34 +0000 2018,"There have been 78 cases of Ebola reported in the current outbreak in the Democratic Republic of Congo, including 4… https://t.co/VEylIheYEc",0.0,0.0,1.0,0.0
31,@CNN,Fri Aug 17 21:04:09 +0000 2018,"New York University will offer a scholarship that covers tuition to every new, current and future medical student… https://t.co/7kRlgxTTDl",0.0,0.0,1.0,0.0
32,@CNN,Fri Aug 17 20:51:50 +0000 2018,"The Wall Street Journal fired back at Rachel Maddow after she said the newspaper ""tried to bury"" a story detailing… https://t.co/OOLy6THdwq",-0.5574,0.159,0.841,0.0
33,@CNN,Fri Aug 17 20:40:38 +0000 2018,"The sea turned red with blood after whale hunt in Faroe Islands. The hunts, which are legal and closely regulated b… https://t.co/Wlw3fXDxFb",0.128,0.0,0.933,0.067
34,@CNN,Fri Aug 17 20:26:05 +0000 2018,China will become the first nation in the world to explore the dark side of the moon. Here's the rover it'll send:… https://t.co/lPgRRPxI1b,0.0,0.0,1.0,0.0
35,@CNN,Fri Aug 17 20:11:57 +0000 2018,A record number of women are running in congressional races this year. How many can win? https://t.co/eCp01Iuqev,0.6249,0.0,0.733,0.267
36,@CNN,Fri Aug 17 19:58:21 +0000 2018,"""My kids are my life,"" said Chris Watts, a day before he was arrested in connection with the killing of his pregnan… https://t.co/PwEf4H58bz",-0.8176,0.273,0.727,0.0
37,@CNN,Fri Aug 17 19:40:26 +0000 2018,A Turkish criminal court rejected US pastor Andrew Brunson's request to be released from house arrest and permitted… https://t.co/pm40Dvgknv,-0.8442,0.378,0.622,0.0
38,@CNN,Fri Aug 17 19:26:37 +0000 2018,"Amazon is reportedly in the running to buy Landmark Theaters, a private chain of about 50 cinemas that specialize i… https://t.co/kllq3dlTv1",0.25,0.0,0.857,0.143
39,@CNN,Fri Aug 17 19:16:16 +0000 2018,"A hotline for clergy sex abuse has been ""lit up"" this week following a grand jury report that detailed abuse allega… https://t.co/miEhHdjXew",-0.7506,0.296,0.599,0.106
40,@CNN,Fri Aug 17 19:00:54 +0000 2018,A new report details what it was like inside a rare fire tornado in California https://t.co/2HsBVUTidI https://t.co/ra6CEeAtb5,0.0258,0.134,0.726,0.14
41,@CNN,Fri Aug 17 18:48:45 +0000 2018,A mom pulled her two young children out of their toy electric car just before it burst into flames… https://t.co/4SlcAE46gE,0.0,0.0,1.0,0.0
